Timeline,ID,Title,Author,Amazon Link,Description,Release Date
Legends,dawn-of-the-jedi-into-the-void,Dawn of the Jedi: Into the Void,Tim Lebbon,https://amzn.to/4fvdX6i,"NEW YORK TIMES BESTSELLER • Discover the origins of the Jedi order, as a lone Je’daii ranger fights to save their ancient homeworld, Tython, from disaster.

On the planet Tython, the ancient Je’daii order was founded. And at the feet of its wise Masters, Lanoree Brock learned the mysteries and methods of the Force—and found her calling as one of its most powerful disciples. But as strongly as the Force flowed within Lanoree and her parents, it remained absent in her brother, who grew to despise and shun the Je’daii, and whose training in its ancient ways ended in tragedy.
 
Now, from her solitary life as a Ranger keeping order across the galaxy, Lanoree has been summoned by the Je’daii Council on a matter of utmost urgency. The leader of a fanatical cult, obsessed with traveling beyond the reaches of known space, is bent on opening a cosmic gateway using dreaded dark matter as the key—risking a cataclysmic reaction that will consume the entire star system. But more shocking to Lanoree than even the prospect of total galactic annihilation, is the decision of her Je’daii Masters to task her with the mission of preventing it. Until a staggering revelation makes clear why she was chosen: The brilliant, dangerous madman she must track down and stop at any cost is the brother whose death she has long grieved—and whose life she must now fear.","May 7, 2013"
Legends,lost-tribe-of-the-sith-the-collected-stories,Lost Tribe of the Sith: The Collected Stories,John Jackson Miller,https://amzn.to/49wY5ws,"At last in one volume, the eight original installments of the epic Lost Tribe of the Sith eBook series . . . along with the explosive, never-before-published finale, Pandemonium—more than one hundred pages of new material!
 
Five thousand years ago. After a Jedi ambush, the Sith mining ship Omen lies wrecked on a remote, unknown planet. Its commander, Yaru Korsin, battles the bloodshed of a mutinous faction led by his own brother. Marooned and facing death, the Sith crew have no choice but to venture into their desolate surroundings. They face any number of brutal challenges—vicious predators, lethal plagues, tribal people who worship vengeful gods—and like true Sith warriors, counter them with the dark side of the Force.
 
The struggles are just beginning for the proud, uncompromising Sith, driven as they are to rule at all costs. They will vanquish the primitive natives, and they will find their way back to their true destiny as rulers of the galaxy. But as their legacy grows over thousands of years, the Sith ultimately find themselves tested by the most dangerous threat of all: the enemy within.","July 24, 2012"
Legends,the-old-republic-revan,The Old Republic: Revan,Drew Karpyshyn,https://amzn.to/4nyvInw,"There’s something out there:
a juggernaut of evil bearing down to crush the Republic—
unless one lone Jedi, shunned and reviled, can stop it.

Hero, traitor, conqueror, villain, savior—the man called Revan has been all of these. He left Coruscant a Jedi, on a mission to defeat the Mandalorians. He returned a Sith disciple, bent on destroying the Republic. The Jedi Council gave Revan his life back, but the price of redemption was the loss of his memories. All that’s left are nightmares—and deep, abiding fear. What happened beyond the Outer Rim that Revan can’t quite remember or entirely forget? One thing he’s certain of: Something dark is plotting to destroy the very existence of the Republic. With no idea how to identify the threat, let alone stop it, Revan may be doomed to fail. For he’s never faced a more powerful and diabolic enemy. But only death can stop him from trying.","October 1, 2011"
Legends,the-old-republic-deceived,The Old Republic: Deceived,Paul S. Kemp,https://amzn.to/3PLAxx8,"The Sith Empire rises from the ashes, set on a path of destruction and devastation in the wake of one of its most sinister dark lords—Darth Malgus.

Our time has come. For three hundred years we prepared; we grew stronger while you rested in your cradle of power, believing your people were safe and protected. You were trusted to lead the Republic, but you were deceived, as our powers of the dark side have blinded you. . . . You were deceived and now your Republic shall fall.

It is a time of vengeance in a galaxy far, far away.

Darth Malgus steps out of the shadows to lead the Sith in striking a fatal blow to the heart of the Jedi Order. Crimson blades rain death and pain upon the Republic, seizing control of Coruscant. But even in triumph, Darth Malgus discovers betrayal by his own brethren, a quest for peace with the Republic that will only corrode their hard-won power.","March 22, 2011"
Legends,red-harvest,Red Harvest,Joe Schreiber,https://amzn.to/3RbkY2i,"The era of the Old Republic is a dark and dangerous time, as Jedi Knights valiantly battle the Sith Lords and their ruthless armies. But the Sith have disturbing plans – and none more so than the fulfilment of Darth Scabrous’s fanatical dream, which is about to become nightmarish reality.

Unlike those other Jedi sidelined to the Agricultural Corps – young Jedi whose abilities have not proved up to snuff – Hestizo Trace possesses one extraordinary Force talent: a gift with plants. Suddenly her quiet existence among greenhouse and garden specimens is violently destroyed by the arrival of an emissary from Darth Scabrous. For the rare black orchid that she has nurtured and bonded with is the final ingredient in an ancient Sith formula that promises to grant Darth Scabrous his greatest desire.

But at the heart of the formula is a never-before-seen virus that’s worse than fatal – it doesn’t just kill, it transforms. Now the rotting, ravenous dead are rising, driven by a bloodthirsty hunger for all things living –and commanded by a Sith Master with an insatiable lust for power and the ultimate prize: immortality… no matter the cost.","December 28, 2010"
Legends,the-old-republic-fatal-alliance,The Old Republic: Fatal Alliance,Sean Williams,https://amzn.to/49LdQQn,"Long-standing foes must put aside their ancient grudges and deep-seated distrust to uncover and defeat a threat to the galaxy before it can escape its isolation—forcing Sith and Jedi to raise their lightsabers together.

“When I look into you, I see no loyalty. . . . I sense only tangled allegiances. . . . Given a choice, I would never trust you.”

From across the galaxy they’ve come: agents of both the Republic and the Sith Empire, an investigating Jedi Padawan, an ex-trooper drummed out of the Republic’s elite Blackstar Squad, and a mysterious Mandalorian.

An extraordinary auction has drawn them all together—in quest of a prize only one can claim. Each is prepared to do what he must to possess the treasure, whose value may be the wealth of a world itself. No one intends to leave empty-handed. All have secrets, desires, and schemes. And nothing could ever unite them as allies—except the truth about the deadly danger of the object they covet.

But can Sith and Jedi, Republic and Empire—enemies for millennia—join as one against the certain doom of the galaxy?","July 1, 2010"
Legends,the-old-republic-annihilation,The Old Republic: Annihilation,Drew Karpyshyn,https://amzn.to/4eQ2KNw,"Light side, dark side—these are just empty words. . . . There are only two sides I care about: us and them. Republic or Empire!

The Sith Empire is in flux. The Emperor is missing, presumed dead, and an ambitious Sith lord’s attempt to seize the throne has ended fatally. Still, Darth Karrid, commander of the fearsome Imperial battle cruiser Ascendant Spear, continues her relentless efforts to achieve total Sith domination of the galaxy.

But Karrid’s ruthless determination is more than matched by the steely resolve of Theron Shan, whose unfinished business with the Empire could change the course of the war for good. Though the son of a Jedi master, Theron does not wield the Force—but, like his renowned mother, he has the spirit of rebellion in his blood. As a top covert agent for the Republic, he struck a crucial blow against the Empire by exposing and destroying a Sith superweapon arsenal—which makes him the ideal operative for a daring and dangerous mission to end Ascendant Spear’s reign of terror.

Joined by hot-headed smuggler Teff’ith, with whom he has an inexplicable bond, and wise Jedi warrior Gnost-Dural, Darth Karrid’s former master, Theron must match wits and weapons with a battle-tested crew of the most cold-blooded disciples of the Dark Side. But time is running brutally short. And if they don’t seize their one chance to succeed, they will surely have countless opportunities to die.","January 1, 2012"
Legends,knight-errant,Knight Errant,John Jackson Miller,https://amzn.to/4wsf7FP,"A thousand years before Luke Skywalker, a generation before Darth Bane, in a galaxy far, far away . . .

The Republic is in crisis. The Sith roam unchecked, vying with one another to dominate the galaxy. 

But one lone Jedi, Kerra Holt, is determined to take down the Dark Lords. Her enemies are strange and many: Lord Daiman, who imagines himself the creator of the universe; Lord Odion, who intends to be its destroyer; the curious siblings Quillan and Dromika; the enigmatic Arkadia. So many warring Sith weaving a patchwork of brutality—with only Kerra Holt to defend the innocents caught underfoot.

Sensing a sinister pattern in the chaos, Kerra embarks on a journey that will take her into fierce battles against even fiercer enemies. With one against so many, her only chance of success lies with forging alliances among those who serve her enemies—including a mysterious Sith spy and a clever mercenary general. But will they be her adversaries or her salvation?","January 25, 2011"
Legends,darth-bane-path-of-destruction,Darth Bane: Path of Destruction,Drew Karpyshyn,https://amzn.to/3PHsSA0,"This essential Star Wars Legends novel is the first in a trilogy chronicling the rise of the fearsome Sith lord Darth Bane.
 
“A solid space adventure [that] charts the evolution of an antihero almost as chilling as Darth Vader.”—Publishers Weekly

On the run from vengeful Republic forces, Dessel, a cortosis miner, vanishes into the ranks of the Sith army and ships out to join the bloody war against the Republic and its Jedi champions. There Dessel’s brutality, cunning, and exceptional command of the Force swiftly win him renown as a warrior. But in the eyes of his watchful masters, a far greater destiny awaits him.

As an acolyte in the Sith academy, studying the secrets and skills of the dark side, Dessel embraces his new identity: Bane. But the true test is yet to come. In order to gain acceptance into the Brotherhood of Darkness, he must defy the most sacred traditions and reject all he has been taught. It is a trial by fire in which he must surrender fully to the dark side—and forge from the ashes a new era of absolute power.","September 6, 2006"
Legends,darth-bane-rule-of-two,Darth Bane: Rule of Two,Drew Karpyshyn,https://amzn.to/3RcMEDU,"In this essential Star Wars Legends novel, the second in the Darth Bane trilogy, the fearsome Sith lord takes on a deadly new apprentice.

Darth Bane’s twisted genius made him a natural leader among the Sith–until his radical embrace of an all-but-forgotten wisdom drove him to destroy his own order . . . and create it anew from the ashes. As the last surviving Sith, Darth Bane promulgated a harsh new directive: the Rule of Two.

Two there should be; no more, no less.
One to embody the power, the other to crave it.

Now Darth Bane is ready to put his policy into action and thinks he has found the key element that will make his triumph complete: a student to train in the ways of the dark side. Though she is young, Zannah possesses an instinctive link to the dark side that rivals his own. With his guidance, she will become essential in his quest to destroy the Jedi and dominate the galaxy.","December 26, 2007"
