Timeline,ID,Title,Author,Amazon Link
Legends,dawn-of-the-jedi-into-the-void,Dawn of the Jedi: Into the Void,Tim Lebbon,https://amzn.to/4fvdX6i
Legends,lost-tribe-of-the-sith-the-collected-stories,Lost Tribe of the Sith: The Collected Stories,John Jackson Miller,https://amzn.to/49wY5ws
Legends,the-old-republic-revan,The Old Republic: Revan,Drew Karpyshyn,https://amzn.to/4nyvInw
Legends,the-old-republic-deceived,The Old Republic: Deceived,Paul S. Kemp,https://amzn.to/3PLAxx8
Legends,red-harvest,Red Harvest,Joe Schreiber,https://amzn.to/3RbkY2i
Legends,the-old-republic-fatal-alliance,The Old Republic: Fatal Alliance,Sean Williams,https://amzn.to/49LdQQn
Legends,the-old-republic-annihilation,The Old Republic: Annihilation,Drew Karpyshyn,https://amzn.to/4eQ2KNw
Legends,knight-errant,Knight Errant,John Jackson Miller,https://amzn.to/4wsf7FP
Legends,darth-bane-path-of-destruction,Darth Bane: Path of Destruction,Drew Karpyshyn,https://amzn.to/3PHsSA0
Legends,darth-bane-rule-of-two,Darth Bane: Rule of Two,Drew Karpyshyn,https://amzn.to/3RcMEDU
Legends,darth-bane-dynasty-of-evil,Darth Bane: Dynasty of Evil,Drew Karpyshyn,https://amzn.to/3RtYhq5
Legends,crucible,Crucible,Troy Denning,https://amzn.to/4eKCV1n
Legends,allies,Allies,Christie Golden,https://amzn.to/3Rs8Uts
Legends,vortex,Vortex,Troy Denning,https://amzn.to/493D4JJ
Legends,conviction,Conviction,Aaron Allston,https://amzn.to/4wxvHEd
Legends,ascension,Ascension,Christie Golden,https://amzn.to/4ny3nNV
Legends,apocalypse,Apocalypse,Troy Denning,https://amzn.to/4dg7UkU
Legends,x-wing-mercy-kill,X-Wing: Mercy Kill,Aaron Allston,https://amzn.to/3Rue8F7
Legends,millennium-falcon,Millennium Falcon,James Luceno,https://amzn.to/4nu9jYh
Legends,outcast,Outcast,Aaron Allston,https://amzn.to/42EedbF
Legends,omen,Omen,Christie Golden,https://amzn.to/4nsIDXS
Legends,abyss,Abyss,Troy Denning,https://amzn.to/4dMCIcZ
Legends,backlash,Backlash,Aaron Allston,https://amzn.to/4uUY263
Legends,invincible,Invincible,Troy Denning,https://amzn.to/3PKpIvl
Legends,crosscurrent,Crosscurrent,Paul S. Kemp,https://amzn.to/4wFgCAP
Legends,riptide,Riptide,Paul S. Kemp,https://amzn.to/495PC39
Legends,revelation,Revelation,Karen Traviss,https://amzn.to/4uf9cT9
Legends,betrayal,Betrayal,Aaron Allston,https://amzn.to/3RInRaU
Legends,bloodlines,Bloodlines,Karen Traviss,https://amzn.to/4uMoZbS
Legends,tempest,Tempest,Troy Denning,https://amzn.to/4uODQ5z
Legends,exile,Exile,Aaron Allston,https://amzn.to/49Q9abY
Legends,sacrifice,Sacrifice,Karen Traviss,https://amzn.to/4wx4hOZ
Legends,inferno,Inferno,Troy Denning,https://amzn.to/3P3v04Y
Legends,fury,Fury,Aaron Allston,https://amzn.to/42Eeawv
Legends,the-unseen-queen,The Unseen Queen,Troy Denning,https://amzn.to/4uUXCfZ
Legends,the-swarm-war,The Swarm War,Troy Denning,https://amzn.to/4dQKQs3
Legends,the-joiner-king,The Joiner King,Troy Denning,https://amzn.to/4dpHcoC
Legends,cloak-of-deception,Cloak of Deception,James Luceno,https://amzn.to/42XaEO9
Legends,maul-lockdown,Maul: Lockdown,Joe Schreiber,https://amzn.to/4f8YVDt
Legends,darth-maul-shadow-hunter,Darth Maul: Shadow Hunter,Michael Reaves,https://amzn.to/4ddbzjg
Legends,episode-i-the-phantom-menace,Star Wars: The Phantom Menace,Terry Brooks,https://amzn.to/4f8Zw8b
Legends,darth-plagueis,Darth Plagueis,James Luceno,https://amzn.to/3RJGona
Legends,rogue-planet,Rogue Planet,Greg Bear,https://amzn.to/4uX3Qfj
Legends,the-unifying-force,The Unifying Force,James Luceno,https://amzn.to/4dMCcM5
Legends,destiny-s-way,Destiny's Way,Walter Jon Williams,https://amzn.to/4uJ6gOg
Legends,force-heretic-i-remnant,Force Heretic I: Remnant,Sean Williams and Shane Dix,https://amzn.to/3PLQT90
Legends,force-heretic-ii-refugee,Force Heretic II: Refugee,Sean Williams and Shane Dix,https://amzn.to/4nxXkZX
Legends,force-heretic-iii-reunion,Force Heretic III: Reunion,Sean Williams and Shane Dix,https://amzn.to/4uf8QMj
Legends,the-final-prophecy,The Final Prophecy,Greg Keyes,https://amzn.to/4fmJveD
Legends,outbound-flight,Outbound Flight,Timothy Zahn,https://amzn.to/4wy6Ksk
Legends,dark-journey,Dark Journey,Elaine Cunningham,https://amzn.to/4tIG7hV
Legends,enemy-lines-i-rebel-dream,Enemy Lines I: Rebel Dream,Aaron Allston,https://amzn.to/49T6LNM
